CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,Clusters,clusters
1,1,19500.0,0.8204,33611.5,0.0348,0.0348,0.1175,0.0199,2.0,2.0,2.0,2.0,0.7115,3,1
1,1,16250.0,0.5397,23117.0,0.0099,0.0,0.0632,0.0135,2.0,0.0,2.0,2.0,0.3505,3,1
1,2,10500.0,0.7629,26995.0,0.0411,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6839,5,0
1,1,16500.0,0.4728,24738.0,0.0273,0.0,0.2566,0.0218,2.0,0.0,2.0,2.0,0.3281,3,1
1,1,15854.5,0.8735,33452.0,0.045,0.0,0.0,0.0183,2.0,0.0,0.0,2.0,0.8265,3,1
1,1,17750.0,0.4148,24000.0,0.0068,0.0,0.064,0.0076,2.0,0.0,2.0,2.0,0.2107,3,1
1,1,7554.0,0.4777,14144.0,0.0186,0.0669,0.0,0.0,0.0,0.0,0.0,0.0,0.6515,0,3
1,1,14000.0,0.6277,18832.0,0.0386,0.0,0.0,0.0408,2.0,0.0,0.0,2.0,0.4107,3,1
1,1,10750.0,0.6476,21791.0,0.0,0.0,0.0,0.0018,2.0,0.0,0.0,2.0,0.4006,3,1
1,1,18250.0,0.361,22250.0,0.0051,0.0,0.1491,0.0077,2.0,0.0,2.0,2.0,0.1687,3,1
1,2,21500.0,0.4939,27000.0,0.0033,0.0,0.0033,0.0365,1.0,0.0,1.0,1.0,0.2136,4,0
1,1,4569.0,0.1948,7000.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116,0,3
1,2,8050.0,0.91,26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363,5,4
1,3,9500.0,0.7543,27167.0,0.0735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7131,1,0
